sp_name,wd_avg
Rozuauixu aeu,0.30446153846153845
Rozuauixu aaao,0.2
Ooubeia eab,0.5766666666666667
Hieiowuqil aaiba,0.4464705882352941
Povaebazuj atiu,0.53
Aakuero oifa,0.32333333333333336
Ieaauneax oap,0.4164285714285714
Ieaauneax eeif,0.459
Ieaauneax iiij,0.4916666666666667
Ieaauneax lue,0.586
Ieaauneax imooiw,0.606
Ieaauneax anoo,0.55
Zoleecu ieeai,0.7695
Etimoh oouwoo,0.73
Etimoh eiob,0.8676923076923077
Aeteidaba qeoua,0.326
Quoioyijez iauji,0.37785185185185183
Efasu iae,0.7517777777777778
Vuioeqiw uui,0.5
Ikasohei taauha,0.797
Ikasohei oteu,0.605
Yieeagezi iyeeio,0.6103333333333334
Misea oiue,0.7154545454545455
Uxeuuvua ogu,0.33533333333333337
Uxeuuvua uewa,0.427
Yoiiieek eaoqe,0.66825
Usahecuaku etae,0.495
Elixofaok gaeuga,0.5185
Elixofaok ewiae,0.42225
Elixofaok itiii,0.454
Ofusupe euo,0.58
Peeoaxug ueoz,0.6605000000000001
Peeoaxug aei,0.6567500000000001
Peeoaxug euaap,0.6033999999999999
Peeoaxug oaa,0.6261818181818182
Exeauq uyie,0.5451666666666667
Exeauq iao,0.4928571428571429
Tinio ouo,0.5959090909090909
Eauna iaa,0.78575
Ibufut eqa,0.8662
Ibufut uaweua,0.9
Uweua iaeava,0.4076666666666667
Uweua ebeeeb,0.324
Uweua eruue,0.306
Tusoa aoica,0.87
Erojemeez uco,0.7333333333333333
Ijoualia oeedo,0.646
Ijoualia oaat,0.6265000000000001
Ijoualia aco,0.602
Ijoualia yiout,0.5086666666666667
Ijoualia apiaav,0.6732
Ijoualia iuapi,0.827
Uzueowoi ueioud,0.44
Uzueowoi aua,0.523
Uzueowoi eah,0.5081428571428571
Uzueowoi ojoi,0.608
Zofoaii iiuw,0.60875
Zofoaii seoun,0.665
Zofoaii ado,0.8435
Ikomunuey uewa,0.5
Ulafufueju euo,0.3225
Padaac ioawi,0.460125
Devaoeah ulu,0.6125
Irebuvouc eiob,0.32
Irebuvouc asii,0.305
Hazoih aqia,0.43333333333333335
Udeai uaui,0.59
Udeai fiuu,0.6136666666666667
Iruhaha euo,0.5655
Piiiua iaa,0.58
Aeoqi oabo,0.46
Aeoqi iueai,0.5890666666666666
Aeoqi eyio,0.5846
Losuouenur iuie,0.6966666666666667
Cecauze iuauk,0.3386
Izene asuu,0.42
Piuaaia asooat,0.3272
Uueaia ioi,0.47
Uueaia eoaue,0.49
Uueaia saa,0.31
Uueaia eainea,0.40194117647058825
Uueaia aduaan,0.51
Apipayuon ujiou,0.5
Apipayuon eia,0.563
Ikuaavi eeoz,0.66
Ikuaavi euofe,0.7050000000000001
Ikuaavi ooo,0.74
Uuoraliuwu oaauv,0.883
Uuoraliuwu uvuou,0.7898571428571428
Uuoraliuwu ouo,0.6496
Pejeegij iyeeio,0.59575
Pejeegij ouo,0.525
Iduxe aiovai,0.5675
Zuraisaho tioim,0.80875
Ulakaiau igue,0.3175
Ulakaiau iale,0.30733333333333335
Ulakaiau ueooue,0.3
Sasiiha aiij,0.4666
Sasiiha asooat,0.44106666666666666
Sasiiha que,0.36
Ahetoieuk ako,0.308
Oosuixe uihu,0.5535
Oosuixe ulu,0.619
Oosuixe uewa,0.55
Oosuixe yiout,0.6175714285714285
Oosuixe eoo,0.679
Oosuixe ueitu,0.6466
Oosuixe vuuovu,0.6085
Ehukibeaie juuum,0.6046666666666667
Zuluuq guaa,0.505
Aeueaz ocauo,0.99
Jaluuporev oeae,0.53
Mozaayux eudueu,0.77575
Acinajoe auida,0.6098888888888889
Acinajoe uigo,0.655
Acinajoe aiuea,0.6305000000000001
Acinajoe ejuie,0.7111999999999999
Ugebulooh ueulue,0.5482
Ulahu egaee,0.43
Azikakaoba aewuae,0.78
Cojouni ueioud,0.3092
Cojouni eup,0.3355
Avadoaoi iia,0.55
Akosed eeje,0.8
Ieiiozez eazue,0.21833333333333335
Tixius eoi,0.4972
Eemeaaer ouoc,0.6833333333333333
Egieof ueuu,0.5076666666666667
Egieof yiaegi,0.507
Ezuno eiete,0.38
Hiraoh iiijii,0.912
Ujaduzaos ubuu,0.8
Ujaduzaos aelua,0.646
Ujaduzaos oohuoo,0.758
Ehimig opoi,0.3557777777777778
Viiieeoj eof,0.62
Viiieeoj yiout,0.6597500000000001
Viiieeoj uoeju,0.5123333333333333
Monoak aha,0.5203076923076922
Monoak oos,0.475
Monoak eoeseo,0.42
Monoak euobe,0.5
Monoak xueo,0.4512
Monoak abe,0.745
Monoak oizo,0.385
Auipiaia ouoa,0.53
Puxoiral foo,0.6
Eliyiooot apu,0.8166
Aikoedaw euo,0.588
Aikoedaw uaijua,0.6723333333333333
Ikiwil uoubuo,0.8946666666666667
Evaoiqa oouoox,0.39
Enataviiq ouitou,0.34
Enataviiq ueopue,0.5185
Leneisiv fuo,0.571
Ujoxoxoi onu,0.71
Ujoxoxoi asoaa,0.6339999999999999
Wuteule uiyiui,0.702
Uhekofia ivaa,0.47933333333333333
Uhekofia uiiuui,0.571
Acequri uia,0.5
Acequri euobe,0.66
Waqiugag udu,0.65
Obeyipa ouoc,0.361
Ruaei eni,0.7788421052631579
Ocugiheo iavai,0.69
Unouui iouc,0.86
Upiuoqeu iuo,0.435
Peziez oxiuo,0.51255
Peziez uoubuo,0.5163333333333333
Peziez uice,0.5373636363636364
Peziez aoota,0.553
Peziez ieihie,0.5816
Euulis eio,1.0772
Euulis ojoi,0.86
Euulis eab,0.6764285714285715
Euulis eiiqei,0.86
Isiyolia uiom,0.47000000000000003
Fajoiraf uduou,0.4435
Fajoiraf aemea,0.4933636363636364
Fajoiraf aoaiao,0.46299999999999997
Itociweazi aoe,0.57875
Bocie aaug,0.41983333333333334
Ivejaluo igoai,0.919
Imiqagaa uaoaua,0.959
Imiqagaa ado,0.8963846153846154
Imiqagaa uqo,0.9225
Izecaw uia,0.99
Necaejes ulu,0.6615
Necaejes aexia,0.5529999999999999
Necaejes uual,0.5155000000000001
Ulisevoauu iyeeio,0.7
Ulisevoauu nauo,0.5953333333333333
Ulisevoauu etu,0.6265000000000001
Xukaofi ubu,0.8049999999999999
Eaexu vuuovu,0.6955
Eateooe oofeoo,0.6
Eateooe orui,0.8582
Eateooe uexiue,0.905
Eateooe euu,0.815
Eateooe ayua,0.633
Eateooe euo,0.7166666666666667
Eateooe inu,0.7016666666666667
Eateooe euahe,0.6966666666666667
Eateooe eeer,0.64
Eateooe seain,0.7188
Iezuewipej waoefa,0.667
Imiiakuo aeeia,0.67
Imiiakuo ale,0.585
Imiiakuo aeb,0.619
Kueeereti eoode,0.8483333333333333
Isawihoobi oiuyoi,0.3396
Aduvexioba ueaa,0.6045714285714285
Liruew acueax,0.43
Colaose iei,0.44875
Unavouee ani,0.84
Wudoeae uxeiu,0.4
Ouuticued uea,0.669
Ouuticued aee,0.7065
Yuzia oaa,0.379
Yuzia kouia,0.3323333333333333
Kaxoawe otuaok,0.6435
Daiiago uouru,0.593
Daiiago rea,0.647
Efuueni etuoe,0.6789999999999999
Zauioqu aamuaa,0.3
Afofi eauve,0.422
Exozodoa wiuu,0.48133333333333334
Exozodoa eiiiep,0.574
Exozodoa oao,0.5715
Exozodoa iiuei,0.49
Exozodoa eafu,0.5369444444444444
Bahuawutaq iuey,0.39
Udaio aooka,0.88
Ahupam epu,0.6071
Abome oofeoo,0.426
Abome iaiui,0.3
Abome aooka,0.2985
Abome uqu,0.28
Haeoaoi auida,0.8525
Haeoaoi uoio,0.774
Haeoaoi ado,0.8242857142857143
Efabolo auji,0.5467777777777778
Teeaapok eidoe,0.721125
Wihaoripel aooka,0.62
Iciootuah kaa,0.38766666666666666
Kaqeoho ieiei,0.4048333333333333
Unorihuo oxee,0.5840000000000001
Cocoi eeune,0.646
Fubais ifee,0.473
Fubais ugi,0.38
Fubais eih,0.653
Fubais eiueei,0.49366666666666664
Fubais houe,0.5145
Fubais ilii,0.43
Fubais jueul,0.34
Fubais oqeaoc,0.315
Fubais aiupa,0.39
Fubais aiovai,0.618
Fubais oeaod,0.344
Fubais iuo,0.46
Fubais iiheii,0.38149999999999995
Fubais iuiti,0.5216666666666667
Fubais uies,0.3899166666666667
Fubais eee,0.36050000000000004
Fubais oroio,0.32
Fubais euoae,0.40900000000000003
Fubais uoe,0.42
Fubais uoeju,0.443
Fubais ohoeo,0.421
Fubais uzuiuq,0.288
Fubais uqu,0.328
Imeneboooi oeio,0.501
Uzevecoo iobu,0.436
Xosieri iyeeio,0.737
Oduxin uaug,0.68575
Ixupuduep ulu,0.424
Owebuyaelo idu,0.698
Uuvoonaean aea,0.6625
Uuvoonaean yueog,0.7273333333333333
Uuvoonaean iuu,0.732
Uuvoonaean auji,0.824
Uuvoonaean aza,0.7849999999999999
Uuvoonaean uaneua,0.824
Udicib ixeei,0.732
Kipeeio iio,0.5546
Bepao udu,0.6338181818181818
Orucaneilo eauwea,0.635
Orucaneilo ooi,0.7065
Mituuuime iuiz,0.86
Ugilunei qeoo,0.6175
Azelaoaeya ouoc,0.42975
Lijualux iom,0.52
Ufufuc iui,0.3494
Apaeukoed ado,0.695
Bugaidi uieaui,0.64
Kubiogavug aeu,0.4784
Kubiogavug ayueaa,0.545
Kubiogavug uoi,0.5824285714285714
Kubiogavug aauuaa,0.77
Esiwey eicoei,0.5250769230769231
Natoaqac ueu,0.59
Otudujaed edu,0.6792222222222223
Otudujaed ieno,0.6425
Otudujaed eienei,0.7961
Otudujaed ueitu,0.7568888888888888
Asouemi dea,1.1
Jusoaliruy ami,0.86
Unejiuue uuje,0.2535
Cimue oae,0.934
Qazao eko,0.245
Uxilamii aonea,0.54
Cupeezuxuw iuizi,1.0433333333333334
Cupeezuxuw oiewo,0.835
Cupeezuxuw cioe,0.885375
Izamuleeni araoa,0.7826
Cijuiue uaweua,0.46699999999999997
Ifociwoogi iio,0.53
Uaefidois auu,0.185
Uaefidois oiah,0.16
Aletiuaaca oaazoa,0.816
Aletiuaaca ouo,0.62
Aletiuaaca oaiao,0.7
Ataju akee,0.39
Givoopo oqeeoq,0.466625
Acooa uriiu,0.4836666666666667
Acooa uuca,0.663
Lobeiyusen euo,0.6
Ebalud uaa,0.632578947368421
Ebalud quueuu,0.6014999999999999
Meruueuiup ehoa,0.68275
Atoiariiga ieihie,0.628
Qokuaqag aua,0.5943333333333334
Iiusaqoe ezeu,0.29
Koyaozo uoi,0.729
Koyaozo uyie,0.7142499999999999
Koyaozo tieifi,0.7949999999999999
Ieabakeof ueuu,0.54
Ieabakeof owo,0.74
Ieabakeof axeaa,0.51
Ieabakeof oeeo,0.89
Ieabakeof etu,0.67
Emaziuou ouuzo,0.38
Ooluajowii uco,0.7869999999999999
Ukowae eifu,0.79235
Oukaubayu uoo,0.702
Idegewuuei ipau,0.456
Folai aci,0.72
Folai uaneua,0.56
Folai iji,0.575
Arafiveo uloeup,0.7145454545454545
Epinaxi mia,0.774875
Epinaxi ayueaa,0.8005
Xadii ito,0.68
Xadii vuuaxu,0.627
Xadii exee,0.723
Akopubi ouwi,0.3506666666666667
Axonuz zeaehe,0.17
Aqaqa ikoeiy,0.7344999999999999
Aqaqa uiki,0.6748888888888889
Nowuaaam ooiv,0.49063636363636365
Nowuaaam iaoxi,0.5342105263157895
Nowuaaam keue,0.44193333333333334
Auabadie ulu,0.6319999999999999
Yavaama ueuu,0.508
Uloyesaipu mia,0.9243846153846154
Decioloqu abou,0.4286666666666667
Exitem atiu,0.7082
Wamuofir iluei,0.623
Finui iuauk,0.47150000000000003
Ulukuloedu eia,0.6481
Ulukuloedu auu,0.66
Mixeel ieo,0.705
Otajoeiizo ueu,0.5800000000000001
Eizuauoki itiii,0.61
Uguve iro,0.3973333333333333
Uguve euu,0.456
Uguve iaa,0.4053333333333333
Zofaemam uiubu,0.7050000000000001
Visuieao oeebo,0.8933333333333333
Abivi uuauuu,0.75
Umemare ecu,0.63
Gotouiuu eute,0.5099333333333333
Gotouiuu aoaiao,0.5518888888888889
Nijeevuh nueax,0.805
Ehaauuoaz ageiaz,0.9808
Jixiis eeje,0.6
Jixiis akaoai,0.6833333333333333
Jixiis uir,0.52
Tapaaga ueuru,1.1375
Elajokio oheoo,0.9088
Elajokio oijooi,0.62
Qukio kei,0.46
Obiloxiufo oeej,0.8541428571428571
Fegoa oqe,0.7100000000000001
Fegoa iuwaiu,0.665
Euoroquet iiom,0.36
Euoroquet eaon,0.356
Euoroquet aiiu,0.5343333333333333
Euoroquet oheioh,0.34
Euoroquet elaier,0.42814285714285716
Euveiho ooiovo,0.758
Euveiho iui,0.51
Euveiho eos,0.78
Euveiho uaac,0.89
Etomisaede onu,0.8969
Etomisaede oeza,0.792
Ligousu aki,0.4548421052631579
Exoyoqoou eie,0.91
Exoyoqoou euox,0.417
Apiro itiii,0.71
Gebuuvowi aia,0.6233333333333333
Ikedos oos,0.299
Ikedos axeua,0.4335
Ikedos iike,0.675
Ikedos euoxe,0.45599999999999996
Aiuoudi aaeaaa,0.7945333333333333
Uouqimea wou,0.575
Ooesiyaaco ewuae,0.3835
Ubobiqail uuc,0.5275
Ubobiqail oaupo,0.42
Erexani oouiog,0.49
Erexani ounao,0.44
Erexani eoo,0.6372
Zoduew ulu,0.626625
Uriuo ifee,0.5575
Uriuo iyeeio,0.5525
Yabeuxe ooiao,1.04
Yabeuxe eqo,0.81
Uuehanairu ifee,0.5644583333333333
Ewura aeu,0.8876666666666667
Ewura umieu,0.829
Fijiuzey auowa,0.7296666666666667
Rahaecovar iuiais,0.48075
Rahaecovar exee,0.473
Rahaecovar aniia,0.775
Udewov erauew,0.758
Emumodeae aoo,0.391
Guxaiwuua aoaya,0.4224
Ioeduf eua,0.865
Yuaeo azu,0.38
Yuaeo olu,0.4
Uhoueguad iib,0.32
Yalia uveeue,0.595
Iqupage uheous,0.589
Iqupage ouv,0.62
Iqupage coi,0.705
Xohoob uiom,0.437
Xohoob ueoeu,0.6193333333333333
Ohueoiia ouoc,0.62
Umodoiuu atiu,0.57444
Nanoie aau,0.761
Uyeguaa iiiwi,0.814
Daieef ujiou,0.7867142857142857
Apujaheuc zieo,0.46814285714285714
Apujaheuc oei,0.64
Apujaheuc oto,0.4787142857142857
Acudu aoama,0.49
Rexeovayo eeeh,0.5635
Rexeovayo rei,0.508
Piciate oewi,0.745
Ujulapei eiube,0.575
Ujulapei iuauk,0.49
Rogiueuz eoode,0.262
Iceuoieev udu,0.88
Atelaxiul uya,0.7111999999999999
Uiiai aeoia,0.7048
Fecooqo oaoy,0.3
Itivo dea,0.7709999999999999
Itivo ueoeu,0.8713333333333333
Oihaaoa woau,0.24283333333333335
Hakuu ebuo,0.83
Buqeena iio,0.7849999999999999
Ifenepiev oeon,0.54
Qezuunuf eie,0.83
Eresa boui,0.7764285714285715
Eresa abiua,0.8243333333333334
Egavik aov,0.6740869565217391
Egavik eee,0.4843636363636364
Bigoiw eoeuk,0.39
Bigoiw idoii,0.57175
Bigoiw icuo,0.545
Danooziua uvoe,0.6663333333333333
Danooziua toiapo,0.6499999999999999
Poyaoea uwia,0.7101999999999999
Poyaoea aaweaa,0.8
Ijaeu oieso,0.645
Ijuci geia,0.5017777777777778
Oaefipioio iwoe,0.676
Oajaeh iepei,0.8
Oajaeh aabia,0.633
Oajaeh aeiz,0.62
Unukig ooiloo,0.16173333333333334
Hoseouen uapuu,0.301
Nenouwid ulu,0.8374999999999999
Aeamogoi iiaz,0.8065
Yuueuqai omaiop,0.55
Jihou oem,0.7492
Onazowaawo iiooi,0.505
Iuaeoqoo aeui,0.43
Iuaeoqoo oso,0.6228571428571429
Nuheoauki oola,0.35
Togeoio naeet,0.37666666666666665
Togeoio ure,0.410625
Uraoiiu iuoiiu,0.55
Uraoiiu suooq,0.45999999999999996
Uraoiiu ifo,0.585
Eeori houomo,0.565
Ipevee ogau,0.5026666666666667
Tubei aeu,0.30957142857142855
Emusuleik oiie,0.43666666666666665
Yimia ayeoax,0.62
Yimia atiu,0.7019375
Ukotakiou oos,0.4635
Ukotakiou aiwoa,0.525
Ukotakiou ooa,0.4575
Ukotakiou ueoou,0.34
Zunooludar eeoz,0.6224
Qobouzu aliea,0.59
Iaasuzauei auida,0.594
Eauead uawau,0.94
Elofis uihiu,0.663
Elofis eoomeo,0.6034545454545455
Elofis aoota,0.841
Vadia qeoua,0.8056666666666666
Ijueajoic ouoc,0.73
Iiuzigeaji ito,0.723
Iiuzigeaji aweu,0.63925
Mohoo udu,0.5486666666666666
Mohoo iea,0.425
Mohoo ooaio,0.53
Ueceil ori,0.6765
Qajuusaweo adeu,0.771
Eioiub iuhai,0.41
Aoeeume zoeip,0.636
Ilidaqo iuai,0.78
Voweo iueai,0.76
Emequ eau,0.775
Pefiuei euite,0.905
Eeuuazeaf afiaa,0.48
Eeuuazeaf oyua,0.4655
Eeuuazeaf ioe,0.5800000000000001
Eeuuazeaf yeuame,0.4185
Umaoi auida,0.6050869565217392
Woeui eoume,0.2806666666666667
Ueagicoe oeej,0.6996666666666667
Juceu dooico,0.6835
Ifueesua uwuaui,0.536
Eyukafie ulu,0.7413333333333333
Wigoocejix nuoev,0.52
Vuraupage iluei,0.72125
Neioupex aeeu,0.5
Ovazeyai yoao,0.4
Ovazeyai iee,0.47833333333333333
Ovazeyai eois,0.46
Odeloie houomo,0.393
Aaifaduu aoo,0.237
Aaifaduu onea,0.32
Yayoeha iib,0.6291538461538462
Ouabe iib,0.59475
Lamoe olu,0.5696666666666667
Eeaqicuev usiau,0.3504285714285714
Eaoqelei oos,0.3531666666666667
Madeeqaeai ouuiou,0.5545
Madeeqaeai ifee,0.44175
Madeeqaeai auoeao,0.79
Madeeqaeai evaeev,0.44466666666666665
Madeeqaeai idoii,0.7605
Madeeqaeai uuqu,0.855
Aiudi eiete,0.55
Yedaoiovu eiiiei,0.3953
Yedaoiovu nuiu,0.4135714285714286
Yedaoiovu uveiuy,0.558
Idefaliu ieuq,0.73
Idefaliu iuo,0.79375
Dicial ito,0.663
Elaja ueo,0.78
Elaja nueax,0.4523333333333333
Dupiiauce uuu,0.55
Dupiiauce ouo,0.67
Todiici zaa,0.34
Esiwoeaak ujeau,0.62
Fupoatapur otiu,0.7
Uturooouv uaoiua,0.6556
Ugokubae ito,0.5606
Ugokubae euu,0.74
Ugokubae euiaeu,0.6286666666666667
Ugokubae ueo,0.56
Ugokubae oteu,0.38287499999999997
Ugokubae uiidu,0.4558333333333333
Ugokubae aoaiao,0.6577857142857143
Qokeuzague ioo,0.31
Irieiveiy aieea,0.565
Zokuaga auu,0.534
Zokuaga uzaiu,0.49324999999999997
Usisa ito,0.4089
Aoolux iri,0.47
Aoolux euofe,0.32425000000000004
Aoolux oraao,0.27449999999999997
Leooajuqu euo,0.61
Leooajuqu oouxoo,0.86
Aaleus oieooi,0.48
Aaleus iib,0.4
Imobedueo usiau,0.6679999999999999
Coluaxefo nou,0.45875
Iqukabuiu ori,0.8977142857142857
Agifaoua rae,0.2106
Otipedioto mia,0.7963333333333333
Huvaa gooivo,0.404
Aakaak izi,0.45
Aeiyuk eimeei,0.46825
Cuhio ueaeue,0.5463333333333333
Ayivaoead iuef,0.6898
Guqaom iwo,0.4191111111111111
Guqaom inaoi,0.4116666666666667
Igali imau,0.4559375
Piqei aneial,0.55775
Ivuee oohuoo,0.525
Aetuu oica,0.16949999999999998
Utuvoo eaaze,0.3413333333333333
Dicoov houomo,0.89675
Cubau ouoc,0.663
Oziwewoud equueh,0.4885
Motue vuuovu,0.72375
Iyeboliu iauji,0.5720000000000001
Iioxiaeix auji,0.5074444444444445
Opopoy aaowaa,0.85
Opopoy araoa,0.801
Opopoy olu,0.8293333333333334
Eoyouy ukuuuh,0.8
Eoyouy idoii,0.45
Eoyouy eof,0.661625
Eoyouy oeizo,0.48
Iyinoweub oaa,0.448
Osoaubool liau,0.5246666666666667
Aabuicao paooza,0.39
Aabuicao ebuaed,0.4506
Aabuicao okii,0.72
Aabuicao iilu,0.43
Aabuicao auai,0.705
Aabuicao aiuea,0.7050000000000001
Aabuicao ouoe,0.56
Aabuicao opeo,0.51
Aabuicao uruaul,0.505
Aabuicao euneeu,0.73
Aabuicao foiaqo,0.42
Ewizuua aeo,0.76
Ewizuua ooovoo,0.7773333333333333
Kibeoiifi iri,0.3833333333333333
Ehobuqei emi,0.615
Ehobuqei oeufoe,0.6000000000000001
Odibocooz eiuye,0.5285
Odibocooz iaicia,0.3885
Kikaoaou fie,0.35050000000000003
Utowo eto,0.39
Qapiucebe ulu,0.825
Uyulipoeo eoi,0.645
Aicaikupu ata,0.3914375
Aicaikupu iib,0.2944
Aicaikupu aoao,0.32999999999999996
Uoalixiaq ueitu,0.738
Ocoqioaio uia,0.7905263157894737
Odiook neo,0.581
Iagoeea esuee,0.61
Unaiiuaiw eiuye,0.392
Unaiiuaiw oaeloa,0.393
Unaiiuaiw quueuu,0.6369166666666667
Unaiiuaiw ieovie,0.5355000000000001
Unaiiuaiw yae,0.673
Unaiiuaiw ati,0.32
Kuteofuzao iaagia,0.592
Kuteofuzao heuo,0.603
Yoroeqauig ureuu,0.6214999999999999
Icaau uei,0.633
Fueaoso ouoc,0.32999999999999996
Ofolapo ayueaa,0.8245
Ofolapo etu,0.6950000000000001
Ofolapo oqai,0.82525
Ofolapo uga,0.5840000000000001
Yuwua uoo,0.663
Ilueuoii ueague,0.646
Ilueuoii xiiow,0.87
Ilueuoii eeoeez,0.702
Ilueuoii oeae,0.646
Oxupota ecii,0.91
Saruuoehos eaxe,0.5700000000000001
Saruuoehos aoota,0.5195454545454545
Saruuoehos iio,0.63
Ogaboji iio,0.63125
Hekoulifaj aii,0.6004
Oaauedac ueif,0.62
Oaauedac suautu,0.6445000000000001
Oaauedac rea,0.71
Oaauedac tuue,0.6096666666666667
Oaauedac oaolo,0.5615
Iooiol eju,0.87
Iooiol uuuou,0.531
Alacoc oiah,0.53
Alacoc aeu,0.47
Alacoc uaox,0.523
Dicouluge zuuul,0.44
Ioyie iteoiy,0.485
Oacoei euiaeu,0.9784
Ofouif ujiou,0.457
Befuauu eut,0.46599999999999997
Urayiy aua,0.592078947368421
Joguew aoe,0.9755
Iheraeo onu,0.75
Iheraeo eqiuei,0.6735
Iheraeo aece,0.8214999999999999
Iheraeo oio,0.76
Iheraeo iboei,0.7666666666666667
Iheraeo opeaoi,0.478
Iheraeo uala,0.66
Iheraeo aui,0.6
Iheraeo iai,0.6785
Iheraeo opoi,0.883
Iheraeo atouag,0.5405
Iheraeo quueuu,0.6941666666666667
Iheraeo iiiti,0.54
Iheraeo euid,0.522
Iheraeo oauioa,0.8
Iheraeo aeoia,0.715
Iheraeo neee,0.883
Iheraeo igee,0.458948275862069
Nujuohiz ulu,0.8240000000000001
Nujuohiz ogiuo,0.749
Egouu mia,0.6387
Sebueguf uihoui,0.5165714285714286
Uapouh iuauk,0.7173333333333334
Ifovepoaki gaeira,0.307
Jomooeig uke,0.5700000000000001
Azuxuwe oma,0.439
Qigiopet iuiei,0.42
Idoioiu qeuuoe,0.5716666666666667
Wabuefoju iwai,0.67
Uceyeyuu ulu,0.6515555555555556
Ifagos eau,0.41425
Gezaisokoy eah,0.319
Gezaisokoy eee,0.3453333333333333
Oxoruyai udu,0.57
Oxoruyai oau,0.482
Oxoruyai eeegee,0.47
Oxoruyai coo,0.7
Meceif ouoc,0.6444
Aouuel oee,0.37
Ocepiaauho ouo,0.499
Eogoib udu,0.49
Eogoib ebu,0.53
Eougixeole eau,0.3345
Aceiueaiva itiii,0.6593333333333333
Aceiueaiva igaei,0.659
Noroafiiul oxee,0.335
Uxuaamuu iuai,0.4934545454545455
Boriej ueawu,0.6118571428571429
Boriej eide,0.577
Boriej eau,0.646
Boriej oai,0.525
Ocihiqaebo iia,0.55
Qipeoki oreio,0.368
Ajezooei oba,0.31566666666666665
Fazua gaoe,0.8
Fazua iaoai,0.78
Fazua eamie,0.7575
Aqayeleeg eaia,0.609
Kahiemeyaa uuii,0.75
Udilezua eao,0.626
Qusaeremu ooow,0.40775
Qusaeremu ioaiio,0.458
Qusaeremu eyiue,0.445375
Avejiio ujiou,0.475
Avejiio aoota,0.4935
Aoiwimai yiu,0.4405
Aoiwimai iqaaib,0.56
Aoiwimai ayueaa,0.424
Aoiwimai aoie,0.67
Aoiwimai ure,0.4513333333333333
Xezoasik geo,0.4101666666666667
Xezoasik yoao,0.36916666666666664
Wunaeaan iib,0.7403333333333333
Wunaeaan uuz,0.49
Ukoguw aoe,0.4
Edohokais uio,0.6859999999999999
Caqoitu udu,0.8666666666666666
Odoluloih itu,0.591
Odoluloih eal,0.5745
Texaabouuq oaab,0.442
Texaabouuq eof,0.56125
Texaabouuq geo,0.35
Texaabouuq eie,0.5933333333333334
Texaabouuq enueeo,0.64
Texaabouuq oogio,0.7050000000000001
Texaabouuq euoie,0.7626
Texaabouuq otuaok,0.40149999999999997
Evomaciar ulu,0.857
Veviujob iooq,0.6900000000000001
Veviujob dei,0.48
Veviujob uluau,0.651
Veviujob oqiuo,0.6860909090909091
Veviujob aaiba,0.44971428571428573
Veviujob nueax,0.49
Veviujob ouk,0.551
Veviujob ooiyo,0.48
Egeiuu oofeoo,0.814
Egeiuu oau,0.6183333333333333
Huouokul eaore,0.563
Aaamobaoka olu,0.62
Aaamobaoka aee,0.71
Fuuoieu,NA
Okafol eeje,NA
Qixoute eeoz,NA
Ejobuo uuoauu,NA
Uqeaeb uuo,NA
Imoriveoi eomu,NA
Ayeiasiuza,NA
Gimaouu,NA
