sp_id,sp_name,genus
Uhaweb-puoa,Uhawebu puoa,Uhawebu
Mipaum-uzeo,Mipaum uzeo,Mipaum
Ehogeu-aoii,Ehogeuoe aoiiae,Ehogeuoe
Ehogeu-euw,Ehogeuoe euw,Ehogeuoe
Ehogeu-eao,Ehogeuoe eao,Ehogeuoe
Ehogeu-euag,Ehogeuoe euage,Ehogeuoe
Ehogeu-gooi,Ehogeuoe gooi,Ehogeuoe
Ehogeu-afue,Ehogeuoe afueac,Ehogeuoe
Faxuo,Faxuo,Faxuo
Faxuo-iic,Faxuo iic,Faxuo
Faxuo-ouar,Faxuo ouaro,Faxuo
Itujib-ioem,Itujibuori ioemio,Itujibuori
Itujib-oiei,Itujibuori oieiai,Itujibuori
Rozuau-aeu,Rozuauixu aeu,Rozuauixu
Rozuau-uka,Rozuauixu uka,Rozuauixu
Rozuau-aaao,Rozuauixu aaao,Rozuauixu
Ooubei-eab,Ooubeia eab,Ooubeia
Hieiow,Hieiowuqil,Hieiowuqil
Hieiow-aaib,Hieiowuqil aaiba,Hieiowuqil
Eyiooa-vuuo,Eyiooau vuuovu,Eyiooau
Povaeb-atiu,Povaebazuj atiu,Povaebazuj
Ilomo-iioo,Ilomo iiooi,Ilomo
Aakuer-oifa,Aakuero oifa,Aakuero
Aakuer-aio,Aakuero aio,Aakuero
Uguley-aoiz,Uguleyo aoizao,Uguleyo
Uguley-aaai,Uguleyo aaaiya,Uguleyo
Uguley-ovaa,Uguleyo ovaao,Uguleyo
Uigeek-arao,Uigeekiyi araoa,Uigeekiyi
Ieaaun-oap,Ieaauneax oap,Ieaauneax
Ieaaun-eeif,Ieaauneax eeif,Ieaauneax
Ieaaun-iiij,Ieaauneax iiij,Ieaauneax
Ieaaun-lue,Ieaauneax lue,Ieaauneax
Ieaaun-imoo,Ieaauneax imooiw,Ieaauneax
Ieaaun-anoo,Ieaauneax anoo,Ieaauneax
Ieaaun-aaua,Ieaauneax aaua,Ieaauneax
Zoleec-ieea,Zoleecu ieeai,Zoleecu
Ucomuo-aoay,Ucomuoue aoayao,Ucomuoue
Juruo,Juruo,Juruo
Juruo-ebu,Juruo ebu,Juruo
Juruo-arue,Juruo arue,Juruo
Juruo-aabi,Juruo aabia,Juruo
Etimoh-oouw,Etimoh oouwoo,Etimoh
Etimoh-eiob,Etimoh eiob,Etimoh
Aeteid-qeou,Aeteidaba qeoua,Aeteidaba
Ixevuo,Ixevuo,Ixevuo
Ixevuo-umie,Ixevuo umieu,Ixevuo
Quoioy,Quoioyijez,Quoioyijez
Quoioy-iauj,Quoioyijez iauji,Quoioyijez
Efasu-iae,Efasu iae,Efasu
Vuioeq-uui,Vuioeqiw uui,Vuioeqiw
Ikasoh-taau,Ikasohei taauha,Ikasohei
Ikasoh-oteu,Ikasohei oteu,Ikasohei
Yieeag-iyee,Yieeagezi iyeeio,Yieeagezi
Ihujar,Ihujareit,Ihujareit
Poqaog-oouj,Poqaoge ooujoo,Poqaoge
Enowej,Enowejo,Enowejo
Misea,Misea,Misea
Misea-oiue,Misea oiue,Misea
Uxeuuv-ogu,Uxeuuvua ogu,Uxeuuvua
Uxeuuv-uewa,Uxeuuvua uewa,Uxeuuvua
Yoiiie,Yoiiieek,Yoiiieek
Yoiiie-eaoq,Yoiiieek eaoqe,Yoiiieek
Yoiiie-juiu,Yoiiieek juiut,Yoiiieek
Usahec-etae,Usahecuaku etae,Usahecuaku
Usahec-uda,Usahecuaku uda,Usahecuaku
Loeuaf,Loeuaf,Loeuaf
Loeuaf-aei,Loeuaf aei,Loeuaf
Loeuaf-ieih,Loeuaf ieihie,Loeuaf
Elixof-gaeu,Elixofaok gaeuga,Elixofaok
Elixof-ewia,Elixofaok ewiae,Elixofaok
Elixof-itii,Elixofaok itiii,Elixofaok
Reiaec-aiko,Reiaecao aikoai,Reiaecao
Ofusup,Ofusupe,Ofusupe
Ofusup-euo,Ofusupe euo,Ofusupe
Ofusup-fuou,Ofusupe fuour,Ofusupe
Ofusup-idoi,Ofusupe idoii,Ofusupe
Ofusup-ogou,Ofusupe ogouo,Ofusupe
Guhue,Guhue,Guhue
Aqedit,Aqeditee,Aqeditee
Aqedit-aoo,Aqeditee aoo,Aqeditee
Aqedit-aueo,Aqeditee aueoa,Aqeditee
Eayuoa,Eayuoa,Eayuoa
Eayuoa-oyoa,Eayuoa oyoao,Eayuoa
Aiuso,Aiuso,Aiuso
Peeoax,Peeoaxug,Peeoaxug
Peeoax-ueoz,Peeoaxug ueoz,Peeoaxug
Peeoax-aei,Peeoaxug aei,Peeoaxug
Peeoax-euaa,Peeoaxug euaap,Peeoaxug
Peeoax-oaa,Peeoaxug oaa,Peeoaxug
Exeauq-uyie,Exeauq uyie,Exeauq
Exeauq-iao,Exeauq iao,Exeauq
Tinio-ouo,Tinio ouo,Tinio
Eauna,Eauna,Eauna
Eauna-iaa,Eauna iaa,Eauna
Moques-ueaa,Moques ueaaue,Moques
Ibufut-eqa,Ibufut eqa,Ibufut
Ibufut-uawe,Ibufut uaweua,Ibufut
Jogioq,Jogioqaqen,Jogioqaqen
Uweua,Uweua,Uweua
Uweua-iaea,Uweua iaeava,Uweua
Uweua-ebee,Uweua ebeeeb,Uweua
Uweua-eruu,Uweua eruue,Uweua
Tusoa-ueso,Tusoa uesoue,Tusoa
Tusoa-aoic,Tusoa aoica,Tusoa
Iwaloj,Iwaloj,Iwaloj
Iwaloj-euio,Iwaloj euiozu,Iwaloj
Guuaoc-eko,Guuaocae eko,Guuaocae
Erojem-uco,Erojemeez uco,Erojemeez
Luguiv-aut,Luguivinu aut,Luguivinu
Ijoual,Ijoualia,Ijoualia
Ijoual-oeed,Ijoualia oeedo,Ijoualia
Ijoual-oaat,Ijoualia oaat,Ijoualia
Ijoual-looi,Ijoualia looil,Ijoualia
Ijoual-aco,Ijoualia aco,Ijoualia
Ijoual-iio,Ijoualia iio,Ijoualia
Ijoual-oeou,Ijoualia oeouox,Ijoualia
Ijoual-aee,Ijoualia aee,Ijoualia
Ijoual-ueuu,Ijoualia ueuuue,Ijoualia
Ijoual-aaaq,Ijoualia aaaqaa,Ijoualia
Ijoual-yiou,Ijoualia yiout,Ijoualia
Ijoual-apia,Ijoualia apiaav,Ijoualia
Ijoual-olou,Ijoualia olouog,Ijoualia
Ijoual-aona,Ijoualia aonaao,Ijoualia
Ijoual-aain,Ijoualia aaina,Ijoualia
Ijoual-iuap,Ijoualia iuapi,Ijoualia
Ijoual-veoa,Ijoualia veoa,Ijoualia
Kemoor-adei,Kemooraxi adeiaa,Kemooraxi
Oiexo-etoa,Oiexo etoa,Oiexo
Natuuc,Natuuca,Natuuca
Natuuc-ouoq,Natuuca ouoqou,Natuuca
Uzueow,Uzueowoi,Uzueowoi
Uzueow-caaa,Uzueowoi caaasa,Uzueowoi
Uzueow-geo,Uzueowoi geo,Uzueowoi
Uzueow-ueio,Uzueowoi ueioud,Uzueowoi
Uzueow-aua,Uzueowoi aua,Uzueowoi
Uzueow-eah,Uzueowoi eah,Uzueowoi
Uzueow-ojoi,Uzueowoi ojoi,Uzueowoi
Zofoai,Zofoaii,Zofoaii
Zofoai-iiuw,Zofoaii iiuw,Zofoaii
Zofoai-seou,Zofoaii seoun,Zofoaii
Zofoai-ado,Zofoaii ado,Zofoaii
Ikomun-uewa,Ikomunuey uewa,Ikomunuey
Deauou-aweu,Deauouex aweu,Deauouex
Ulafuf-euo,Ulafufueju euo,Ulafufueju
Padaac-ioaw,Padaac ioawi,Padaac
Amewe-uiom,Amewe uiom,Amewe
Devaoe,Devaoeah,Devaoeah
Devaoe-ulu,Devaoeah ulu,Devaoeah
Irebuv-eiob,Irebuvouc eiob,Irebuvouc
Irebuv-asii,Irebuvouc asii,Irebuvouc
Hazoih-aqia,Hazoih aqia,Hazoih
Udeai,Udeai,Udeai
Udeai-uaui,Udeai uaui,Udeai
Udeai-uuea,Udeai uueau,Udeai
Udeai-fiuu,Udeai fiuu,Udeai
Vaeuof,Vaeuof,Vaeuof
Ueaau-ako,Ueaau ako,Ueaau
Pomeif-aeye,Pomeifie aeye,Pomeifie
Iruhah-euo,Iruhaha euo,Iruhaha
Puseef,Puseefiw,Puseefiw
Ucagiz-ouoc,Ucagizii ouoc,Ucagizii
Ucagiz-jee,Ucagizii jee,Ucagizii
Piiiua,Piiiua,Piiiua
Piiiua-ahoi,Piiiua ahoiau,Piiiua
Piiiua-ueio,Piiiua ueioud,Piiiua
Piiiua-iaa,Piiiua iaa,Piiiua
Aeoqi-oabo,Aeoqi oabo,Aeoqi
Aeoqi-iuea,Aeoqi iueai,Aeoqi
Aeoqi-iaax,Aeoqi iaaxi,Aeoqi
Aeoqi-iau,Aeoqi iau,Aeoqi
Aeoqi-eyio,Aeoqi eyio,Aeoqi
Aeoqi-oruo,Aeoqi oruoof,Aeoqi
Xuvaa-eia,Xuvaa eia,Xuvaa
Ilouel-iore,Iloueliii iore,Iloueliii
Losuou-iuie,Losuouenur iuie,Losuouenur
Ijetia,Ijetia,Ijetia
Cecauz-iuau,Cecauze iuauk,Cecauze
Izene-asuu,Izene asuu,Izene
Piuaai-asoo,Piuaaia asooat,Piuaaia
Uueaia,Uueaia,Uueaia
Uueaia-ioi,Uueaia ioi,Uueaia
Uueaia-oouw,Uueaia oouwoo,Uueaia
Uueaia-eoau,Uueaia eoaue,Uueaia
Uueaia-saa,Uueaia saa,Uueaia
Uueaia-oii,Uueaia oii,Uueaia
Uueaia-eain,Uueaia eainea,Uueaia
Uueaia-adua,Uueaia aduaan,Uueaia
Oubaem,Oubaememei,Oubaememei
Apipay,Apipayuon,Apipayuon
Apipay-ujio,Apipayuon ujiou,Apipayuon
Apipay-eia,Apipayuon eia,Apipayuon
Gauiij-aeuj,Gauiij aeujae,Gauiij
Atimav-keo,Atimav keo,Atimav
Yuoeac-odie,Yuoeaco odie,Yuoeaco
Ikuaav,Ikuaavi,Ikuaavi
Ikuaav-eeoz,Ikuaavi eeoz,Ikuaavi
Ikuaav-uami,Ikuaavi uamiu,Ikuaavi
Ikuaav-euof,Ikuaavi euofe,Ikuaavi
Ikuaav-ooo,Ikuaavi ooo,Ikuaavi
Xipoeh-uoub,Xipoeheu uoubuo,Xipoeheu
Uuoral-oaau,Uuoraliuwu oaauv,Uuoraliuwu
Uuoral-ito,Uuoraliuwu ito,Uuoraliuwu
Uuoral-uvuo,Uuoraliuwu uvuou,Uuoraliuwu
Uuoral-aua,Uuoraliuwu aua,Uuoraliuwu
Uuoral-ouo,Uuoraliuwu ouo,Uuoraliuwu
Pejeeg,Pejeegij,Pejeegij
Pejeeg-iyee,Pejeegij iyeeio,Pejeegij
Pejeeg-ouo,Pejeegij ouo,Pejeegij
Iduxe-aiov,Iduxe aiovai,Iduxe
Iduxe-aea,Iduxe aea,Iduxe
Zurais-tioi,Zuraisaho tioim,Zuraisaho
Ulakai,Ulakaiau,Ulakaiau
Ulakai-igue,Ulakaiau igue,Ulakaiau
Ulakai-iale,Ulakaiau iale,Ulakaiau
Ulakai-ueoo,Ulakaiau ueooue,Ulakaiau
Sasiih-aiij,Sasiiha aiij,Sasiiha
Sasiih-asoo,Sasiiha asooat,Sasiiha
Sasiih-que,Sasiiha que,Sasiiha
Ahetoi-ako,Ahetoieuk ako,Ahetoieuk
Oosuix,Oosuixe,Oosuixe
Oosuix-uihu,Oosuixe uihu,Oosuixe
Oosuix-ulu,Oosuixe ulu,Oosuixe
Oosuix-uewa,Oosuixe uewa,Oosuixe
Oosuix-yiou,Oosuixe yiout,Oosuixe
Oosuix-eoo,Oosuixe eoo,Oosuixe
Oosuix-ueit,Oosuixe ueitu,Oosuixe
Oosuix-vuuo,Oosuixe vuuovu,Oosuixe
Ehukib-juuu,Ehukibeaie juuum,Ehukibeaie
Koceaj-uqei,Koceajag uqeiu,Koceajag
Koceaj-owii,Koceajag owiioa,Koceajag
Oteyoq-oogi,Oteyoqui oogio,Oteyoqui
Cigieb-aia,Cigieboy aia,Cigieboy
Eoeten-eiim,Eoetena eiime,Eoetena
Zuluuq-guaa,Zuluuq guaa,Zuluuq
Aeueaz-ocau,Aeueaz ocauo,Aeueaz
Jaluup-oeae,Jaluuporev oeae,Jaluuporev
Ukoiao-ulu,Ukoiaoaii ulu,Ukoiaoaii
Mozaay-eudu,Mozaayux eudueu,Mozaayux
Acinaj-auid,Acinajoe auida,Acinajoe
Acinaj-iaab,Acinajoe iaabia,Acinajoe
Acinaj-ioa,Acinajoe ioa,Acinajoe
Acinaj-eaei,Acinajoe eaeie,Acinajoe
Acinaj-eje,Acinajoe eje,Acinajoe
Acinaj-uigo,Acinajoe uigo,Acinajoe
Acinaj-aiue,Acinajoe aiuea,Acinajoe
Acinaj-oee,Acinajoe oee,Acinajoe
Acinaj-lueo,Acinajoe lueo,Acinajoe
Acinaj-ejui,Acinajoe ejuie,Acinajoe
Acinaj-axii,Acinajoe axii,Acinajoe
Acinaj-uue,Acinajoe uue,Acinajoe
Riheud-aue,Riheud aue,Riheud
Ugebul-ueul,Ugebulooh ueulue,Ugebulooh
Voeuuj,Voeuuju,Voeuuju
Ulahu-egae,Ulahu egaee,Ulahu
Bajuov-uzae,Bajuovot uzaeuo,Bajuovot
Azikak-aewu,Azikakaoba aewuae,Azikakaoba
Azikak-eee,Azikakaoba eee,Azikakaoba
Oijuu-eau,Oijuu eau,Oijuu
Iiiie,Iiiie,Iiiie
Iiiie-ojeo,Iiiie ojeooc,Iiiie
Cojoun,Cojouni,Cojouni
Cojoun-ueio,Cojouni ueioud,Cojouni
Cojoun-eup,Cojouni eup,Cojouni
Avadoa,Avadoaoi,Avadoaoi
Avadoa-iia,Avadoaoi iia,Avadoaoi
Avadoa-niua,Avadoaoi niuaui,Avadoaoi
Wojaoo,Wojaooul,Wojaooul
Oiecit-uneo,Oiecit uneou,Oiecit
Fupaad-oufi,Fupaaducef oufio,Fupaaducef
Akosed,Akosed,Akosed
Akosed-aaa,Akosed aaa,Akosed
Akosed-eeje,Akosed eeje,Akosed
Akosed-iio,Akosed iio,Akosed
Akosed-kiiu,Akosed kiiu,Akosed
Akosed-oie,Akosed oie,Akosed
Ieiioz-uzoe,Ieiiozez uzoeur,Ieiiozez
Ieiioz-eazu,Ieiiozez eazue,Ieiiozez
Uguuol-oao,Uguuolieiu oao,Uguuolieiu
Tixius-eoi,Tixius eoi,Tixius
Ozuheb,Ozuhebu,Ozuhebu
Eemeaa-ouoc,Eemeaaer ouoc,Eemeaaer
Egieof,Egieof,Egieof
Egieof-ueuu,Egieof ueuu,Egieof
Egieof-uheo,Egieof uheous,Egieof
Egieof-aem,Egieof aem,Egieof
Egieof-eeox,Egieof eeoxee,Egieof
Egieof-oao,Egieof oao,Egieof
Egieof-yiae,Egieof yiaegi,Egieof
Egieof-obii,Egieof obiion,Egieof
Aekeaw-ooi,Aekeawu ooi,Aekeawu
Ezuno-oeza,Ezuno oeza,Ezuno
Ezuno-eiet,Ezuno eiete,Ezuno
Hiraoh-iiij,Hiraoh iiijii,Hiraoh
Ujaduz,Ujaduzaos,Ujaduzaos
Ujaduz-otuu,Ujaduzaos otuuox,Ujaduzaos
Ujaduz-ubuu,Ujaduzaos ubuu,Ujaduzaos
Ujaduz-aelu,Ujaduzaos aelua,Ujaduzaos
Ujaduz-oohu,Ujaduzaos oohuoo,Ujaduzaos
Ujaduz-ouab,Ujaduzaos ouabou,Ujaduzaos
Ujaduz-iiiw,Ujaduzaos iiiwi,Ujaduzaos
Qevoex,Qevoex,Qevoex
Ehimig-igoa,Ehimig igoai,Ehimig
Ehimig-opoi,Ehimig opoi,Ehimig
Viiiee-eof,Viiieeoj eof,Viiieeoj
Viiiee-yiou,Viiieeoj yiout,Viiieeoj
Viiiee-uoej,Viiieeoj uoeju,Viiieeoj
Ukipa-eei,Ukipa eei,Ukipa
Monoak,Monoak,Monoak
Monoak-aha,Monoak aha,Monoak
Monoak-iyeu,Monoak iyeu,Monoak
Monoak-oos,Monoak oos,Monoak
Monoak-eoes,Monoak eoeseo,Monoak
Monoak-euob,Monoak euobe,Monoak
Monoak-xueo,Monoak xueo,Monoak
Monoak-eeje,Monoak eeje,Monoak
Monoak-abe,Monoak abe,Monoak
Monoak-uyoa,Monoak uyoauv,Monoak
Monoak-oizo,Monoak oizo,Monoak
Monoak-euau,Monoak euau,Monoak
Auipia-ouoa,Auipiaia ouoa,Auipiaia
Puxoir-foo,Puxoiral foo,Puxoiral
Eliyio-apu,Eliyiooot apu,Eliyiooot
Aikoed,Aikoedaw,Aikoedaw
Aikoed-aava,Aikoedaw aavaa,Aikoedaw
Aikoed-euo,Aikoedaw euo,Aikoedaw
Aikoed-uaij,Aikoedaw uaijua,Aikoedaw
Ikiwil-uoub,Ikiwil uoubuo,Ikiwil
Rueaep-eiau,Rueaepehiu eiauu,Rueaepehiu
Ihevej-aeu,Ihevejeam aeu,Ihevejeam
Miyaii-uqoo,Miyaiio uqoo,Miyaiio
Evaoiq-oouo,Evaoiqa oouoox,Evaoiqa
Veuuio-uabo,Veuuioi uaboua,Veuuioi
Enatav-ouit,Enataviiq ouitou,Enataviiq
Enatav-ueop,Enataviiq ueopue,Enataviiq
Leneis-fuo,Leneisiv fuo,Leneisiv
Ujoxox-onu,Ujoxoxoi onu,Ujoxoxoi
Ujoxox-asoa,Ujoxoxoi asoaa,Ujoxoxoi
Wuteul-uiyi,Wuteule uiyiui,Wuteule
Awuoat-ooo,Awuoatoa ooo,Awuoatoa
Wogaot,Wogaotaj,Wogaotaj
Uhekof,Uhekofia,Uhekofia
Uhekof-ege,Uhekofia ege,Uhekofia
Uhekof-ivaa,Uhekofia ivaa,Uhekofia
Uhekof-oepa,Uhekofia oepao,Uhekofia
Uhekof-uiiu,Uhekofia uiiuui,Uhekofia
Uhekof-iuil,Uhekofia iuil,Uhekofia
Uhekof-ueaa,Uhekofia ueaay,Uhekofia
Zufoeq-mia,Zufoeqotu mia,Zufoeqotu
Iyeqeh,Iyeqeh,Iyeqeh
Iyeqeh-idie,Iyeqeh idieig,Iyeqeh
Tecouj-ueta,Tecoujucuv uetaue,Tecoujucuv
Tecouj-eae,Tecoujucuv eae,Tecoujucuv
Acequr-uia,Acequri uia,Acequri
Acequr-euob,Acequri euobe,Acequri
Acequr-aeu,Acequri aeu,Acequri
Acequr-yoao,Acequri yoao,Acequri
Waqiug-udu,Waqiugag udu,Waqiugag
Obeyip-ouoc,Obeyipa ouoc,Obeyipa
Ruaei-eni,Ruaei eni,Ruaei
Ocugih-iava,Ocugiheo iavai,Ocugiheo
Rahuuy-auji,Rahuuyevin auji,Rahuuyevin
Rahuuy-oau,Rahuuyevin oau,Rahuuyevin
Unouui-iouc,Unouui iouc,Unouui
Podiiz-uheo,Podiizu uheous,Podiizu
Upiuoq-iuo,Upiuoqeu iuo,Upiuoqeu
Peziez,Peziez,Peziez
Peziez-oxiu,Peziez oxiuo,Peziez
Peziez-uoub,Peziez uoubuo,Peziez
Peziez-uice,Peziez uice,Peziez
Peziez-aoot,Peziez aoota,Peziez
Peziez-ieih,Peziez ieihie,Peziez
Euulis-aaij,Euulis aaija,Euulis
Euulis-ieaj,Euulis ieaj,Euulis
Euulis-eio,Euulis eio,Euulis
Euulis-uqu,Euulis uqu,Euulis
Euulis-iri,Euulis iri,Euulis
Euulis-ojoi,Euulis ojoi,Euulis
Euulis-eab,Euulis eab,Euulis
Euulis-eiiq,Euulis eiiqei,Euulis
Aukao-uuag,Aukao uuag,Aukao
Isiyol-uiom,Isiyolia uiom,Isiyolia
Fajoir,Fajoiraf,Fajoiraf
Fajoir-utoo,Fajoiraf utoou,Fajoiraf
Fajoir-uduo,Fajoiraf uduou,Fajoiraf
Fajoir-aeme,Fajoiraf aemea,Fajoiraf
Fajoir-aoai,Fajoiraf aoaiao,Fajoiraf
Ieaie-uiik,Ieaie uiiku,Ieaie
Sogied-oabo,Sogiedokau oabo,Sogiedokau
Itociw-aoe,Itociweazi aoe,Itociweazi
Qiiaay-oyoa,Qiiaayuw oyoao,Qiiaayuw
Oxedik-exu,Oxediki exu,Oxediki
Oxedik-ewio,Oxediki ewio,Oxediki
Bocie,Bocie,Bocie
Bocie-aaug,Bocie aaug,Bocie
Ivejal-igoa,Ivejaluo igoai,Ivejaluo
Yoyail-ieev,Yoyail ieevi,Yoyail
Obewov,Obewov,Obewov
Obewov-ooi,Obewov ooi,Obewov
Qaruai,Qaruaiogec,Qaruaiogec
Qaruai-inao,Qaruaiogec inaoi,Qaruaiogec
Imiqag,Imiqagaa,Imiqagaa
Imiqag-uaoa,Imiqagaa uaoaua,Imiqagaa
Imiqag-auuy,Imiqagaa auuya,Imiqagaa
Imiqag-ado,Imiqagaa ado,Imiqagaa
Imiqag-tuue,Imiqagaa tuue,Imiqagaa
Imiqag-uqo,Imiqagaa uqo,Imiqagaa
Imiqag-vuuo,Imiqagaa vuuovu,Imiqagaa
Dehaib,Dehaibel,Dehaibel
Dehaib-igoa,Dehaibel igoai,Dehaibel
Izecaw-uia,Izecaw uia,Izecaw
Necaej-ulu,Necaejes ulu,Necaejes
Necaej-aexi,Necaejes aexia,Necaejes
Necaej-uual,Necaejes uual,Necaejes
Necaej-oiuk,Necaejes oiukoi,Necaejes
Ulisev-iyee,Ulisevoauu iyeeio,Ulisevoauu
Ulisev-nauo,Ulisevoauu nauo,Ulisevoauu
Ulisev-etu,Ulisevoauu etu,Ulisevoauu
Xukaof-ubu,Xukaofi ubu,Xukaofi
Eaexu-vuuo,Eaexu vuuovu,Eaexu
Eateoo,Eateooe,Eateooe
Eateoo-oofe,Eateooe oofeoo,Eateooe
Eateoo-eae,Eateooe eae,Eateooe
Eateoo-iea,Eateooe iea,Eateooe
Eateoo-eau,Eateooe eau,Eateooe
Eateoo-joii,Eateooe joiito,Eateooe
Eateoo-eeu,Eateooe eeu,Eateooe
Eateoo-orui,Eateooe orui,Eateooe
Eateoo-uexi,Eateooe uexiue,Eateooe
Eateoo-euu,Eateooe euu,Eateooe
Eateoo-eui,Eateooe eui,Eateooe
Eateoo-xaia,Eateooe xaiapa,Eateooe
Eateoo-ayua,Eateooe ayua,Eateooe
Eateoo-euo,Eateooe euo,Eateooe
Eateoo-inu,Eateooe inu,Eateooe
